informacoes_profissionais.nivel_profissional,formacao_e_idiomas.nivel_academico,formacao_e_idiomas.nivel_ingles,perfil_vaga.nivel profissional,perfil_vaga.nivel_academico,perfil_vaga.nivel_ingles,informacoes_profissionais.area_atuacao,perfil_vaga.areas_atuacao,informacoes_basicas.tipo_contratacao,match_nivel_profissional,match_nivel_academico,match_nivel_ingles,match_area_atuacao
,ensino superior completo,fluente,analista,ensino superior completo,avançado,"ti - arquitetura, ti - governança, ti - infraestrutura, ti - segurança da informação, ti - sistemas e ferramentas, ti - suporte",ti - projetos-,"cooperado, pj/autônomo",0,1,0,0
,pós graduação completo,fluente,sênior,ensino superior completo,básico,ti - sap,ti - projetos-,pj/autônomo,0,0,0,0
,,,sênior,ensino superior completo,nenhum,,gestão e alocação de recursos de ti-ti - sap-,pj/autônomo,0,0,0,0
,,,analista,ensino superior completo,básico,,ti - projetos-,"clt full, pj/autônomo",0,0,0,0
,,,sênior,ensino médio completo,fluente,,administrativa-,hunting,0,0,0,0
,ensino superior cursando,intermediário,sênior,ensino superior completo,intermediário,ti - desenvolvimento/programação,ti - desenvolvimento/programação-,pj/autônomo,0,0,1,0
,,,sênior,ensino superior completo,avançado,,ti - sistemas e ferramentas-,,0,0,0,0
,,,sênior,ensino médio completo,nenhum,,financeira/controladoria-,cooperado,0,0,0,0
,,,pleno,ensino superior completo,intermediário,,ti - processos e negócios-,,0,0,0,0
,,,pleno,ensino técnico completo,nenhum,,gestão e alocação de recursos de ti-,pj/autônomo,0,0,0,0
,,,analista,ensino superior completo,básico,,ti - sap-,pj/autônomo,0,0,0,0
,,,sênior,ensino médio completo,avançado,,gestão e alocação de recursos de ti-,pj/autônomo,0,0,0,0
,ensino superior completo,avançado,sênior,ensino superior completo,intermediário,"ti - desenvolvimento/mobile, ti - desenvolvimento/programação",ti - desenvolvimento/programação-,clt full,0,1,0,0
,ensino superior completo,básico,analista,ensino superior completo,intermediário,ti - qualidade/testes,ti - qualidade/testes-,clt full,0,1,0,0
,,,analista,ensino superior completo,avançado,,ti - projetos-,hunting,0,0,0,0
,pós graduação completo,intermediário,gerente,ensino superior completo,básico,ti - infraestrutura,ti - projetos-,pj/autônomo,0,0,0,0
,,,analista,ensino superior completo,básico,,ti - projetos-,"pj/autônomo, clt full",0,0,0,0
,,,analista,ensino superior completo,básico,,ti - sap-,pj/autônomo,0,0,0,0
,ensino superior completo,intermediário,sênior,ensino superior completo,nenhum,ti - desenvolvimento/programação,gestão e alocação de recursos de ti-,clt full,0,1,0,0
,,,analista,ensino superior completo,intermediário,,ti - projetos-,"pj/autônomo, clt full",0,0,0,0
,,,pleno,ensino superior completo,fluente,,ti - projetos-,clt full,0,0,0,0
,ensino superior completo,,sênior,ensino superior completo,básico,,ti - sap-,pj/autônomo,0,1,0,0
,,,sênior,ensino superior completo,básico,,ti - sap-,hunting,0,0,0,0
,pós graduação completo,básico,analista,ensino superior completo,básico,ti - desenvolvimento/mobile,ti - projetos-,"pj/autônomo, clt full",0,0,1,0
,,,sênior,ensino médio completo,técnico,,ti - sap-,cooperado,0,0,0,0
,,,analista,ensino superior completo,básico,,ti - projetos-,"clt full, pj/autônomo",0,0,0,0
,,,pleno,ensino técnico completo,nenhum,,gestão e alocação de recursos de ti-,pj/autônomo,0,0,0,0
,,,analista,ensino superior completo,intermediário,,ti - projetos-,"clt full, pj/autônomo",0,0,0,0
,,,analista,ensino superior completo,avançado,,ti - desenvolvimento/programação-,clt full,0,0,0,0
,,,analista,ensino superior completo,básico,,ti - projetos-,"clt full, pj/autônomo",0,0,0,0
,,,sênior,ensino superior completo,avançado,,ti - projetos-,"pj/autônomo, clt full",0,0,0,0
,,,pleno,ensino superior completo,intermediário,,ti - projetos-,clt full,0,0,0,0
,,,pleno,ensino superior completo,intermediário,,ti - sap-,pj/autônomo,0,0,0,0
,,,pleno,ensino superior completo,avançado,,ti - projetos-,hunting,0,0,0,0
,ensino superior completo,,pleno,ensino superior completo,avançado,,ti - sap-,hunting,0,1,0,0
,pós graduação completo,básico,sênior,ensino médio completo,nenhum,ti - qualidade/testes,gestão e alocação de recursos de ti-,cooperado,0,0,0,0
,ensino superior completo,intermediário,sênior,ensino médio completo,nenhum,ti - desenvolvimento/programação,financeira/controladoria-,clt cotas,0,0,0,0
,,,pleno,ensino técnico completo,intermediário,,gestão e alocação de recursos de ti-,pj/autônomo,0,0,0,0
,,,sênior,ensino superior completo,nenhum,,ti - projetos-,hunting,0,0,0,0
,,,sênior,ensino técnico completo,avançado,,marketing-,pj/autônomo,0,0,0,0
,,,analista,ensino superior completo,básico,,ti - projetos-,"clt full, pj/autônomo",0,0,0,0
,pós graduação completo,intermediário,gerente,ensino superior completo,avançado,administrativa,ti - projetos-,pj/autônomo,0,0,0,0
,,,sênior,ensino superior completo,fluente,,ti - projetos-,pj/autônomo,0,0,0,0
,,,sênior,ensino superior cursando,básico,,ti - desenvolvimento/programação-,pj/autônomo,0,0,0,0
,,,pleno,ensino superior completo,intermediário,,ti - projetos-,pj/autônomo,0,0,0,0
,,,sênior,ensino superior completo,básico,,ti - projetos-,"clt full, pj/autônomo",0,0,0,0
,,,pleno,ensino superior completo,avançado,,ti - sistemas e ferramentas-,clt full,0,0,0,0
,pós graduação incompleto,fluente,analista,ensino superior completo,básico,"ti - desenvolvimento/programação, ti - processos e negócios, ti - projetos, ti - qualidade/testes, ti - sap, ti - suporte",ti - sap-,pj/autônomo,0,0,0,0
,ensino superior cursando,básico,analista,ensino superior completo,básico,"ti - desenvolvimento/programação, ti - projetos, ti - qualidade/testes, ti - sap, ti - ux",ti - projetos-,"pj/autônomo, clt full",0,0,1,0
,,,analista,ensino superior completo,avançado,,ti - sap-,pj/autônomo,0,0,0,0
,pós graduação completo,fluente,analista,ensino superior completo,básico,ti - projetos,ti - sap-,"pj/autônomo, clt full",0,0,0,0
,,,sênior,ensino superior completo,fluente,,administrativa-,pj/autônomo,0,0,0,0
,,,pleno,ensino superior completo,nenhum,,ti - desenvolvimento/programação-,clt full,0,0,0,0
,,,sênior,ensino médio completo,nenhum,,financeira/controladoria-,cooperado,0,0,0,0
,,,sênior,ensino médio completo,nenhum,,gestão e alocação de recursos de ti-,pj/autônomo,0,0,0,0
,,,pleno,ensino superior cursando,intermediário,,ti - desenvolvimento/programação-,hunting,0,0,0,0
,,,especialista,ensino superior completo,fluente,,ti - projetos-,hunting,0,0,0,0
,doutorado completo,intermediário,sênior,ensino médio completo,avançado,ti - governança,ti - projetos-,pj/autônomo,0,0,0,0
,,,especialista,ensino superior cursando,avançado,,ti - qualidade/testes-,clt full,0,0,0,0
,ensino superior completo,,sênior,ensino superior completo,fluente,,ti - sap-,hunting,0,1,0,0
,,,sênior,ensino superior completo,básico,,ti - projetos-,"clt full, pj/autônomo",0,0,0,0
,,,sênior,ensino superior completo,nenhum,,gestão e alocação de recursos de ti-ti - sap-,pj/autônomo,0,0,0,0
,,,sênior,ensino superior completo,intermediário,,ti - projetos-,"pj/autônomo, cooperado",0,0,0,0
,pós graduação completo,avançado,analista,ensino superior completo,fluente,ti - sap,ti - projetos-,clt full,0,0,0,0
,,,pleno,ensino técnico completo,nenhum,,gestão e alocação de recursos de ti-,pj/autônomo,0,0,0,0
,,,sênior,ensino superior completo,fluente,,ti - sap-,pj/autônomo,0,0,0,0
,,,pleno,ensino técnico completo,nenhum,,gestão e alocação de recursos de ti-,pj/autônomo,0,0,0,0
,pós graduação completo,,sênior,ensino médio completo,avançado,,gestão e alocação de recursos de ti-,pj/autônomo,0,0,0,0
,,,analista,ensino superior completo,avançado,,ti - projetos-,hunting,0,0,0,0
líder,ensino técnico completo,avançado,analista,ensino superior completo,básico,ti - projetos,ti - desenvolvimento/programação-,clt full,0,0,0,0
,,,analista,ensino superior completo,avançado,,ti - projetos-,clt full,0,0,0,0
,,,pleno,ensino superior completo,nenhum,,ti - sistemas e ferramentas-,pj/autônomo,0,0,0,0
,,,pleno,ensino superior completo,intermediário,,ti - projetos-,clt full,0,0,0,0
,,,sênior,ensino superior completo,intermediário,,ti - desenvolvimento/programação-,,0,0,0,0
,ensino superior completo,intermediário,sênior,ensino superior completo,nenhum,ti - desenvolvimento/programação,ti - desenvolvimento/programação-,pj/autônomo,0,1,0,0
,,,analista,ensino superior completo,intermediário,,ti - projetos-,"clt full, pj/autônomo",0,0,0,0
,,,pleno,ensino superior completo,avançado,,ti - projetos-,clt full,0,0,0,0
,,,sênior,ensino superior completo,básico,,ti - sap-,"pj/autônomo, clt full",0,0,0,0
,,,analista,ensino superior completo,fluente,,administrativa-,clt full,0,0,0,0
,,,assistente,ensino superior incompleto,básico,,administrativa-,clt full,0,0,0,0
,,,analista,ensino superior completo,básico,,ti - desenvolvimento/programação-,clt full,0,0,0,0
,ensino superior completo,básico,analista,ensino superior completo,básico,ti - suporte,ti - projetos-,"pj/autônomo, clt full",0,1,1,0
,,,analista,ensino superior completo,básico,,ti - desenvolvimento/programação-,clt full,0,0,0,0
,,,analista,ensino superior completo,avançado,,ti - projetos-,hunting,0,0,0,0
,,,analista,ensino superior completo,básico,,ti - projetos-,"pj/autônomo, clt full",0,0,0,0
,,,pleno,ensino superior completo,nenhum,,ti - desenvolvimento/programação-,clt full,0,0,0,0
,,,analista,ensino superior completo,básico,,ti - projetos-,clt full,0,0,0,0
,,,sênior,ensino médio completo,fluente,,financeira/controladoria-,cooperado,0,0,0,0
,,,pleno,ensino técnico completo,fluente,,gestão e alocação de recursos de ti-,pj/autônomo,0,0,0,0
,ensino superior completo,intermediário,pleno,ensino superior completo,avançado,ti - sap,ti - sap-,cooperado,0,1,0,0
,,,analista,ensino superior completo,básico,,ti - projetos-,"pj/autônomo, clt full",0,0,0,0
,,,analista,ensino superior completo,básico,,ti - sap-,hunting,0,0,0,0
,,,analista,ensino superior cursando,nenhum,,ti - sap-,clt cotas,0,0,0,0
,,,sênior,ensino médio completo,nenhum,,financeira/controladoria-,pj/autônomo,0,0,0,0
,ensino médio completo,básico,sênior,ensino médio completo,nenhum,ti - qualidade/testes,administrativa-,cooperado,0,1,0,0
,,,analista,ensino superior completo,avançado,,ti - sap-,"pj/autônomo, clt full",0,0,0,0
,,,sênior,ensino superior completo,avançado,,ti - sap-,pj/autônomo,0,0,0,0
,,,sênior,ensino superior completo,avançado,,financeira/controladoria-,pj/autônomo,0,0,0,0
,,,sênior,ensino superior completo,nenhum,,ti - desenvolvimento/programação-,clt full,0,0,0,0
,,,pleno,ensino técnico completo,nenhum,,gestão e alocação de recursos de ti-,cooperado,0,0,0,0
,pós graduação completo,fluente,sênior,ensino superior completo,fluente,ti - sap,ti - sap-,hunting,0,0,1,0
,,,analista,ensino superior completo,básico,,ti - projetos-,"clt full, pj/autônomo",0,0,0,0
,,,sênior,ensino médio completo,técnico,,ti - sap-,pj/autônomo,0,0,0,0
,,,especialista,ensino superior completo,básico,,ti - sap-,pj/autônomo,0,0,0,0
,,,analista,ensino superior completo,básico,,ti - suporte-,"cooperado, pj/autônomo",0,0,0,0
,ensino superior completo,intermediário,pleno,ensino médio completo,avançado,ti - desenvolvimento/programação,gestão e alocação de recursos de ti-,pj/autônomo,0,0,0,0
,,,sênior,ensino superior completo,avançado,,ti - desenvolvimento/design-,,0,0,0,0
,,,analista,ensino superior completo,básico,,ti - projetos-,"clt full, pj/autônomo",0,0,0,0
,,,analista,ensino superior completo,básico,,ti - projetos-,"clt full, pj/autônomo",0,0,0,0
,,,assistente,ensino superior completo,nenhum,,administrativa-,clt full,0,0,0,0
,,,analista,ensino superior completo,básico,,ti - projetos-,"pj/autônomo, clt full",0,0,0,0
,,,analista,ensino superior completo,básico,,ti - sap-,clt full,0,0,0,0
,,,pleno,ensino superior completo,intermediário,,gestão e alocação de recursos de ti-ti - desenvolvimento/programação-,pj/autônomo,0,0,0,0
,,,sênior,ensino superior completo,básico,,ti - projetos-,cooperado,0,0,0,0
,pós graduação completo,avançado,sênior,ensino médio completo,avançado,"ti - processos e negócios, ti - projetos, ti - qualidade/testes, ti - sap, ti - sistemas e ferramentas, ti - suporte",gestão e alocação de recursos de ti-,pj/autônomo,0,0,1,0
,,,sênior,ensino superior completo,básico,,ti - sap-,pj/autônomo,0,0,0,0
,,,sênior,ensino superior completo,básico,,ti - projetos-,"clt full, pj/autônomo",0,0,0,0
,,,pleno,ensino técnico completo,nenhum,,gestão e alocação de recursos de ti-ti - sap-,pj/autônomo,0,0,0,0
,,,analista,ensino superior completo,básico,,ti - suporte-,"pj/autônomo, clt full",0,0,0,0
,ensino superior completo,básico,analista,ensino médio completo,nenhum,administrativa,administrativa-financeira/controladoria-,clt full,0,0,0,0
,pós graduação cursando,básico,pleno,ensino superior completo,intermediário,ti - desenvolvimento/programação,ti - desenvolvimento/programação-,,0,0,0,0
,ensino superior completo,,pleno,ensino técnico completo,nenhum,,gestão e alocação de recursos de ti-,pj/autônomo,0,0,0,0
,pós graduação completo,avançado,analista,ensino superior completo,básico,ti - projetos,ti - projetos-,pj/autônomo,0,0,0,0
,,,sênior,ensino superior completo,nenhum,,ti - sap-,pj/autônomo,0,0,0,0
,pós graduação completo,básico,pleno,ensino técnico completo,nenhum,ti - desenvolvimento/programação,gestão e alocação de recursos de ti-,pj/autônomo,0,0,0,0
,,,sênior,ensino superior completo,fluente,,ti - projetos-,pj/autônomo,0,0,0,0
,pós graduação completo,básico,analista,ensino superior completo,básico,recursos humanos,ti - projetos-,"pj/autônomo, clt full",0,0,1,0
,,,sênior,ensino superior completo,intermediário,,ti - sap-,,0,0,0,0
,ensino superior completo,intermediário,pleno,ensino superior completo,técnico,ti - sap,ti - sap-,clt full,0,1,0,0
,,,sênior,ensino superior completo,básico,,ti - sap-,pj/autônomo,0,0,0,0
,,,pleno,ensino superior completo,avançado,,ti - arquitetura-,pj/autônomo,0,0,0,0
,ensino superior cursando,avançado,analista,ensino superior completo,básico,ti - governança,ti - projetos-,"pj/autônomo, clt full",0,0,0,0
,pós graduação incompleto,básico,analista,ensino superior completo,básico,administrativa,ti - projetos-,"clt full, pj/autônomo",0,0,1,0
,,,assistente,ensino superior incompleto,básico,,administrativa-,,0,0,0,0
,,,analista,ensino superior completo,básico,,ti - projetos-,pj/autônomo,0,0,0,0
,,,sênior,ensino superior cursando,nenhum,,ti - sistemas e ferramentas-,clt full,0,0,0,0
,,,sênior,ensino superior completo,básico,,ti - projetos-,,0,0,0,0
,ensino superior completo,básico,analista,ensino superior completo,básico,ti - desenvolvimento/programação,ti - projetos-,"clt full, pj/autônomo",0,1,1,0
